32	27	30
48	38	39
43	40	46
40	42	35
31	46	38
31	34	32
44	42	37
31	27	35
35	48	48
32	34	47
56	40	47
70	57	70
40	42	42
58	31	45
42	56	45
39	37	34
51	39	45
42	58	44
38	35	42
46	90	90
27	84	84
32	38	34
99	107	106
71	78	69
57	66	61
38	71	61
104	38	104
81	40	47
66	71	54
68	27	48
71	40	46
43	52	51
31	42	38
42	40	40
44	71	65
71	33	57
62	42	57
71	33	69
31	70	70
42	42	45
40	71	66
57	40	55
71	41	57
71	71	71
35	60	42
47	27	36
44	47	41
31	44	42
56	33	44
50	44	43
40	40	45
42	35	50
40	40	41
47	47	47
75	59	59
54	47	54
53	33	53
31	48	48
56	61	50
53	61	65
40	47	34
104	47	59
85	85	85
40	35	42
47	47	42
67	72	72
80	49	43
85	100	76
80	80	79
96	96	94
80	55	49
42	96	62
85	49	75
40	31	41
50	40	36
49	40	41
49	44	45
85	66	70
91	31	91
79	79	79
49	71	71
66	44	66
63	54	63
63	63	63
35	49	41
49	44	41
78	78	78
80	49	41
52	52	48
80	47	52
31	52	34
31	52	34
80	52	47
42	51	49
84	31	51
27	50	41
137	51	71
35	52	39
137	84	97
84	50	67
63	88	88
84	52	39
52	80	44
84	31	69
73	40	73
63	52	52
80	80	68
40	80	44
31	35	42
52	40	40
67	67	65
31	27	32
67	67	63
31	31	41
67	122	60
86	50	52
40	64	64
80	40	42
67	53	44
53	67	52
80	86	54
80	70	70
69	50	69
122	40	42
68	53	68
67	53	44
86	80	62
67	80	47
42	53	49
40	67	45
67	67	62
86	80	65
58	60	47
91	60	58
60	60	54
60	60	61
78	78	70
50	60	46
47	78	65
55	58	55
76	47	41
60	42	40
60	35	38
58	60	49
58	60	47
63	55	62
60	63	54
58	55	39
51	76	51
78	60	62
44	47	34
91	60	54
60	60	56
60	91	56
58	40	45
31	31	40
130	52	52
35	55	48
130	27	38
52	76	38
130	44	42
63	50	62
69	44	69
44	44	39
55	52	39
130	31	40
44	44	42
44	44	46
55	44	37
44	42	42
44	130	47
63	63	63
57	44	57
31	44	43
44	130	44
44	44	41
62	69	65
55	40	47
70	55	48
62	75	75
55	55	48
55	62	61
55	65	65
44	69	39
62	72	72
62	55	63
44	55	50
62	44	43
62	62	58
52	69	46
55	55	50
69	62	63
62	42	56
82	55	82
80	62	80
44	27	36
62	44	56
62	62	57
76	27	28
50	50	53
50	169	117
86	169	128
50	118	44
169	52	144
76	50	40
118	40	59
27	52	41
50	31	41
50	169	126
50	127	127
126	50	126
169	123	123
27	50	37
27	50	33
169	50	128
144	52	144
40	31	30
86	50	69
50	52	37
52	86	75
55	55	51
52	55	39
79	52	56
39	163	103
163	39	101
55	79	48
55	58	38
163	58	122
58	55	51
86	120	120
163	163	152
55	58	47
163	39	125
55	163	132
79	55	61
55	163	127
55	79	51
74	52	62
27	58	53
101	55	101
55	79	53
70	52	57
70	51	65
70	57	74
75	70	70
70	51	66
73	41	45
73	43	39
86	70	94
73	41	45
93	75	93
40	73	63
86	70	86
43	100	60
75	40	33
41	70	53
57	75	57
82	40	82
43	75	34
70	57	57
27	57	56
51	41	43
50	75	48
40	75	35
47	63	53
94	55	94
41	94	57
94	63	62
94	55	88
94	61	61
40	27	33
63	69	55
40	47	46
31	60	43
63	55	46
55	48	35
47	47	44
48	47	42
47	47	54
55	47	47
47	55	44
47	55	42
47	53	53
94	55	83
31	47	34
48	47	47
89	53	65
31	90	69
94	61	60
69	40	69
90	61	61
89	89	83
59	90	52
40	61	32
61	60	50
60	60	60
113	60	60
51	51	51
62	50	50
52	94	52
90	89	89
53	61	44
89	56	56
61	90	73
56	61	56
94	40	65
94	61	62
60	89	64
44	57	45
94	57	82
57	94	77
53	103	59
57	57	55
87	40	52
53	103	66
53	51	51
87	53	73
57	87	64
53	40	39
44	62	51
103	103	86
51	60	51
103	44	44
53	60	65
60	94	69
103	57	57
52	57	52
94	87	70
58	58	58
57	57	53
82	78	61
56	61	56
63	197	63
78	58	58
60	78	58
105	61	91
99	40	77
85	82	82
76	85	76
40	40	33
70	64	64
59	94	59
78	61	55
82	62	62
197	78	64
85	85	71
85	78	71
99	78	80
40	40	29
82	197	117
99	76	83
76	40	56
59	65	58
89	65	64
99	69	99
65	47	47
102	59	102
46	52	43
103	59	103
69	69	69
65	89	58
52	69	52
65	59	51
59	69	58
94	65	55
69	52	51
59	65	53
52	40	37
40	50	50
69	50	50
65	59	57
52	75	50
59	89	75
59	52	59
54	94	73
73	96	92
96	54	86
65	94	54
94	73	69
94	94	92
65	73	46
54	94	78
52	65	62
41	61	49
31	99	49
96	96	88
94	52	54
65	96	96
99	96	97
96	88	88
40	73	38
65	73	44
40	76	53
55	105	55
94	96	102
75	75	75
80	80	80
79	102	73
80	31	67
45	54	56
123	80	123
54	45	55
45	80	65
79	105	105
45	105	91
65	102	70
91	105	92
65	130	130
80	54	76
65	79	65
45	79	58
94	94	93
65	78	78
102	68	68
65	80	65
62	79	66
79	102	70
62	54	33
65	65	64
65	111	95
59	58	53
59	65	53
45	94	94
40	91	69
111	65	106
60	59	74
40	100	44
59	96	96
65	65	59
91	67	68
45	100	45
58	65	43
76	111	104
100	58	57
76	105	105
66	59	47
89	31	89
100	78	78
31	111	105
111	100	123
49	60	63
49	39	47
69	111	114
143	69	84
70	111	111
49	91	82
152	111	152
49	49	44
49	49	60
70	94	69
111	94	96
143	111	118
39	94	59
69	69	56
143	69	73
143	111	104
111	45	95
118	118	118
143	115	115
70	49	61
118	49	118
111	143	123
52	90	66
45	91	65
70	40	61
75	52	69
45	49	37
31	91	63
111	112	112
91	52	52
111	73	110
40	52	39
119	75	88
45	49	51
75	75	60
91	113	113
40	75	48
90	45	90
49	31	35
105	111	106
124	111	124
75	73	71
119	52	57
49	40	46
70	44	45
91	77	74
44	84	76
111	77	92
84	70	57
91	77	84
65	178	178
